original_label,new_label,
emig,emig,
country,Country,
q1,Governorate,
q2,District,
q101,econ_eval_current,
q101a,econ_eval_5y,
q102,econ_eval_future,
q102b,econ_eval_household,
q103,general_trust,
q103a1,trust_anyone,
q103a2,trust_never_tell,
q103a3,trust_vicious_stake,
q103a4,trust_tell_want_hear,
q103a5,wise_flatter,
q103a6,lying,
q105,safe,
q106,treated_equally,
q1071,worry_no_possib,
q1072,worry_no_terr,
q1074,worry_no_harras,
q2011,trust_gvt,
q2012,trust_courts,
q2013,trust_leg,
q2014,trust_pol,
q2016,trust_army,
q20113,trust_religious_leaders,
q20120,trust_parties,
q202,state_undertakes_radical,
q204a1,sat_edu,
q204a2,health,
q2041,gvt_perf_A,
q2042,gvt_perf_B,
q2043,gvt_perf_C,
q2044,gvt_perf_D,
q20420,gvt_perf_E,
q20421,gvt_perf_F,
q20422,gvt_perf_G,
q2061,challenges_biggest,
q2062,challenges_2biggest,
q210,corruption,
q213,job_without_connections,
q214,demanded_good_conduct,
q216,citizens_support_gvt_if_idsagree,
q217,can_crit_gvt,
q2181,gvtemployees_citneeds,
q2182,leaders_citneeds,
q2185,understandpolitics,
q261a1,rate_politicians_intel,
q261a2,rate_politicians_honest,
q261b1,rate_cits_intel,
q261b2,rate_cits_honest,
q263,help_poor,
q264,reasons_help_poor,
q265,poverty_taxes,
q301,turnout_past,
q302,election_past,
q303,election_past_freefair,
q403,foreign_media,
q404,polint,
q4061,pol_TV,
q4062,pol_newspaper,
q409,internet_use,
q4113,fb,
q4114,twitter,
q4116,insta,
q501,organizations,
q501b,party,
q5021,public_disc,
q5022,protest,
q514,political_reform,
q515a1,priorities_gvt,
q515a2,priorities_gvt2,
q515a3,priorities_gvt3,
q5181,suitability_LRpolitics,
q5182,suitability_islamist_politics,
q5183,suitability_strong_authority,
q5184,suitability_partiless_sharia,
q5185,suitability_parliamteraism_nonrel,
q5186,suitability_gvtprovides,
q523a,HRviol,
q523,HRviol_just,
q6011,womanPM,
q6012,woman_work,
q6013,mean_leaders,
q6014,uni_importance_men,
q6018,women_inheritance,
q60118,husbands_final_decision,
q6041,obstacleA,
q6043,obstacleB,
q605,sharia_basis,
q605a,rel_party,
q6062,rel_politicians,
q6063,good_cleric_influence,
q6064,rel_private,
q6071,western_dem_islam,
q6073,islam_banks_interest,
q6074,women_men_uni,
q6076,women_dress,
q6077,banks_allowed,
aid1a,youth_education_program,
aid2,sat_eduprgroams_outside,
aid31,important_things_outsideeduprogr,
aid32,important_things_outsideeduprogr2,
aid41,barriers_outsideeduprogr,
aid42,barriers_outsideeduprogr2,
aid5a,edu_contents,
aid5b,edu_importance_right,
aid5c,edu_think_indep,
aid5d,edu_exams,
aid5e,edu_socialskills,
q7001,future_econrel_US,
q7002,future_econrel_Saudi,
q7003,future_econrel_Iran,
q7004,future_econrel_Turk,
q7007,future_econrel_EU,
q7008,future_econrel_RUS,
q7011,dem_effect_rel_US,
q7012,dem_effect_rel_EU,
q7013,dem_effect_rel_neigh,
q7014,dem_effect_rel_RUS,
q713,best_US_policy,
q701b,becoming_more_connected,
q704,US_reform_demands,
q705,why_Arab_underdev,
q707,Americans_are_goodpeople,
q708,positive_Western_culture,
q709a,ArabIsraeli,
q7114,Western_interference_reform,
age,age,
region,region,
second_language,second_language,
first_language,first_language,
income_categories,income_categories,
edu_combined,edu_combined,
q1008,yrs_job_experience,
q1006a,like_job,
q1006a_combined,work_sector,
q1006_combined,work_fulltime,
q1005_combined,work_situation,
q513_combined,satisf_gov,
q512_combined,dem_appropriate,
q511_combined,dem_extent,
q2008,interviewer_gender,
q1017,remittances_from_abroad,
q1016,hh_income,
q1012,religion,
q6106,read_quran_bible,
q6101,pray_daily,
q609,religiosity,
q1011j,pets,
q1011i,live_w_non_family,
q1011h,live_w_parents,
q1011g,own_property,
q1011f,nr_rooms,
q1011e,healthcare,
q1011d,basic_sanitation,
q1011c,smartphone,
q1011b,car,
q1011a,computer,
q1010d,people_in_hh,
q1010b,children_in_hh,
q1010,marital_status,
q1004,work,
q1002,gender,
q1001c,years_lived_in_area,
q901,selfidentification,
q8343,angry_seculars_Arab,
q8342,angry_Shias,
q8341,angry_US,
q833,concern_sectarian_growth,
q832,solution_for_Syria,
q714,most_threatening_country,
q7115,intereference_from_arab_countries,
